Recombinant Node ID	Breakpoint Interval 1	Breakpoint Interval 2	Recombinant Ranking	Donor Node ID	Donor Clade	Donor Lineage	Acceptor Node ID	Acceptor Clade	Acceptor Lineage
node_1001846	(0,673)	(25611,27638)	3.8	node_1001845	21J (Delta)	AY.120.1	node_1001701	21J (Delta)	AY.120.1
node_1003751	(10029,11222)	(23403,25469)	1.1875	node_10135	20A	B.1	node_1003747	21J (Delta)	B.1.617.2
node_1003787	(210,3037)	(16466,22917)	2.375	node_1003678	21J (Delta)	B.1.617.2	node_1003635	21J (Delta)	B.1.617.2
node_1003795	(11201,15450)	(27390,28916)	2.71429	node_588714	21J (Delta)	B.1.617.2	node_1003677	21J (Delta)	B.1.617.2
node_1005819	(5986,14408)	(29402,29742)	1.58333	node_1005818	21A (Delta)	B.1.617.2	node_2182463	20I (Alpha,V1)	B.1.1.7
node_1015136	(0,913)	(12988,13458)	3.16667	node_1017002	20A	B.1.258.17	node_1015009	20A	B.1.258
node_1016844	(0,1170)	(27645,27972)	2.375	node_1016843	20A	B.1.258.17	node_1017184	20A	B.1.258.17
node_1017878	(913,1917)	(3037,3267)	3.16667	node_2394796	20I (Alpha,V1)	B.1.1.7	node_1017871	20A	B.1.258.17
node_1048400	(5170,5195)	(14916,18714)	2.375	node_1051818	20E (EU1)	B.1.177.75	node_1048389	20E (EU1)	B.1.177
node_1057917	(203,1513)	(6212,6652)	3.16667	node_1051850	20E (EU1)	B.1.177.75	node_1057915	20E (EU1)	B.1.177
node_1062614	(11132,26801)	(28932,29903)	2.71429	node_1048075	20E (EU1)	B.1.177	node_1062611	20E (EU1)	B.1.177.53
node_1090036	(18424,25517)	(27074,27925)	3.16667	node_1100677	20C	B.1	node_1135556	20C	B.1
node_1106202	(0,8651)	(28472,29400)	2.375	node_1106201	20C	B.1.595	node_1152288	20C	B.1
node_1106675	(1059,5547)	(25121,27964)	1	node_1106668	20C	B.1.595.1	node_1319254	20B	B.1.1
node_1110947	(1829,3484)	(7399,10319)	3.16667	node_1210417	20G	B.1.2	node_1110941	20C	B.1.349
node_1123704	(0,1059)	(28272,28881)	1.26667	node_1121357	21C (Epsilon)	B.1.429	node_1316387	20F	D.2
node_1127527	(0,2144)	(27890,28881)	1.46154	node_1127496	21C (Epsilon)	B.1.429	node_1127526	21C (Epsilon)	B.1.429
node_1127797	(21304,23311)	(26199,27890)	1.26667	node_1236273	20G	B.1.2	node_1127791	21C (Epsilon)	B.1.429
node_1129562	(0,937)	(20629,21530)	3.8	node_1129557	21C (Epsilon)	B.1.429	node_1131234	21C (Epsilon)	B.1.429
node_1132661	(12067,12878)	(27889,27964)	1.58333	node_1131989	21C (Epsilon)	B.1.429	node_1132660	20C	B.1
node_1132913	(1059,1171)	(25844,26664)	3.16667	node_1132918	20C	B.1.375	node_1105885	20C	B.1.595
node_113780	(12946,16883)	(19629,20320)	3.8	node_109913	21I (Delta)	B.1.617.2	node_113777	21I (Delta)	B.1.617.2
node_113864	(15451,16466)	(27739,29402)	3.16667	node_99809	21I (Delta)	B.1.617.2	node_113835	21I (Delta)	B.1.617.2
node_1141690	(0,1059)	(24432,25968)	1.9	node_1141678	21F (Iota)	B.1.526	node_1144846	21F (Iota)	B.1.526
node_1144794	(21846,22917)	(26681,27739)	3.8	node_1111661	20C	B.1	node_1144507	21F (Iota)	B.1.526
node_1145061	(0,4106)	(21614,21658)	3.8	node_1145051	21F (Iota)	B.1.526	node_1145233	21F (Iota)	B.1.526
node_1145317	(0,241)	(22320,23012)	2.71429	node_1100965	20C	B.1	node_1144794	21F (Iota)	B.1.526
node_1147287	(0,913)	(12357,14403)	2.375	node_2295316	20I (Alpha,V1)	B.1.1.7	node_1150953	21F (Iota)	B.1.526
node_1149685	(21846,23664)	(28111,28869)	1.72727	node_2181991	20B	B.1.1	node_1149684	21F (Iota)	B.1.526
node_1154227	(20262,21801)	(28044,28881)	3.8	node_1139195	20C	B.1.637	node_1319445	20B	B.1.1
node_1154506	(0,619)	(2523,4197)	1.1875	node_1100058	20C	B.1.108	node_1154505	20C	B.1.340
node_1154943	(1059,8883)	(13514,18486)	0.575758	node_1030516	20A	B.1.240	node_1096451	20C	B.1
node_1159322	(7303,22287)	(26022,28005)	1.05556	node_1159321	20H (Beta,V2)	B.1.351	node_1159131	20H (Beta,V2)	B.1.351
node_1163848	(23664,25669)	(27434,28887)	0.542857	node_1191123	20A	B.1.160	node_1162593	20H (Beta,V2)	B.1.351.2
node_1164250	(6954,9344)	(25904,27193)	3.16667	node_1164249	20H (Beta,V2)	B.1.351	node_1155347	20H (Beta,V2)	B.1.351
node_1176552	(19746,20756)	(25563,25708)	2.375	node_1177278	21H (Mu)	B.1.621	node_1176551	21H (Mu)	B.1.621
node_1177029	(25563,25563)	(28272,28887)	1.1875	node_1175950	21H (Mu)	B.1.621	node_1176997	21H (Mu)	B.1.621
node_1177034	(241,3428)	(26492,27925)	3.16667	node_1176458	21H (Mu)	B.1.621	node_1199496	20A	B.1.36
node_118641	(0,1048)	(7124,8986)	3.8	node_177403	21J (Delta)	AY.122.5	node_1005606	21A (Delta)	B.1.617.2
node_118911	(16466,26767)	(28883,29903)	0.487179	node_2204614	20I (Alpha,V1)	B.1.1.7	node_118910	21A (Delta)	B.1.617.2
node_1193287	(11497,15766)	(26735,26876)	0.612903	node_1193248	20A	B.1.160	node_2500465	20B	B.1.1
node_1193480	(445,2110)	(20389,21855)	0.95	node_1251111	20A	B.1	node_1185301	20A	B.1.160
node_119744	(24124,25996)	(28396,29903)	2.71429	node_688680	21J (Delta)	AY.121	node_119743	21A (Delta)	B.1.617.2
node_1198497	(362,3037)	(21724,22468)	1.9	node_1198375	20A	B.1.36.8	node_1198496	20A	B.1.36.8
node_119924	(11514,23896)	(25702,27874)	3.8	node_38387	21I (Delta)	AY.24	node_119784	21A (Delta)	B.1.617.2
node_1199494	(3037,5541)	(21528,25563)	2.71429	node_1199480	20A	B.1.36	node_1006713	20A	B.1
node_1201689	(22444,22917)	(26013,26681)	3.8	node_1111726	21C (Epsilon)	B.1.427	node_1199540	20A	B.1.36.16
node_1203418	(16683,21846)	(23012,23664)	1.11765	node_1100962	20C	B.1	node_1203308	20A	B.1
node_1207258	(21088,21302)	(23403,25768)	1.05556	node_1226020	20G	B.1.2	node_1207247	20G	B.1.2
node_1250918	(0,1648)	(23604,24733)	3.8	node_1282527	20B	B.1.1	node_1250917	20A	B.1
node_1255110	(6941,8983)	(28651,28869)	3.16667	node_1252941	20A	B.1.221	node_1292144	20B	B.1.1.83
node_1256571	(0,913)	(23271,28048)	2.71429	node_2181794	20B	B.1.1	node_1256570	20A	B.1
node_1256828	(9749,9867)	(22032,22917)	2.375	node_1137025	20C	B.1.637	node_1256827	20A	B.1
node_1256863	(3037,3267)	(23063,23271)	3.16667	node_1087121	20A	B.1	node_2199467	20I (Alpha,V1)	B.1.1.7
node_1256969	(14403,15324)	(24378,26211)	0.00619094	node_9930	20A	B.1	node_1256968	20A	B.1
node_1259063	(2749,3828)	(21638,22132)	0.76	node_2486988	20J (Gamma,V3)	P.1	node_1259062	20B	B.1.1
node_1263211	(3140,10954)	(23756,29903)	0.000653392	node_1263202	20B	B.1.1.222	node_1310940	20B	B.1.1
node_1270443	(23756,24130)	(25163,25469)	2.71429	node_539049	21J (Delta)	AY.100	node_1270419	20B	B.1.1.519
node_1275257	(12534,13536)	(15026,16549)	2.11111	node_1294384	20D	C.36.3	node_1275256	20B	B.1.1
node_1282387	(0,3037)	(23403,23756)	3.8	node_1282367	20B	B.1.1	node_1272260	20B	B.1.1.222
node_1289179	(100,241)	(14408,21628)	3.16667	node_2503072	20B	B.1.1.33	node_1286849	20B	P.2
node_1295325	(20668,22017)	(23403,23731)	3.16667	node_1261900	20B	R.1	node_1295296	20D	C.14
node_1299648	(101,241)	(9857,9867)	3.8	node_1032204	20A	B.1	node_1299646	21G (Lambda)	C.37
node_1322402	(884,2509)	(28178,28881)	2.71429	node_1322401	20B	B.1.1	node_10000	20A	B.1
node_1323591	(15279,17999)	(25563,28977)	1.72727	node_1323590	20B	B.1.1	node_2197643	20I (Alpha,V1)	B.1.1.7
node_1323595	(0,241)	(10323,16176)	2.71429	node_2435391	20I (Alpha,V1)	B.1.1.7	node_1323594	20B	B.1.1
node_1323900	(18424,23063)	(28472,28881)	3.16667	node_1205236	20A	B.1	node_1324145	20B	B.1.1
node_1326773	(12160,18163)	(27807,27889)	0.452381	node_1326772	21M (Omicron)	B.1.1.529	node_1326917	21M (Omicron)	B.1.1.529
node_1326781	(22578,23403)	(27807,29903)	0.655172	node_1326807	21M (Omicron)	B.1.1.529	node_1326780	21M (Omicron)	B.1.1.529
node_1326794	(9424,21618)	(22688,22786)	2.11111	node_1683666	22B (Omicron)	BA.5.1.1	node_1326784	21M (Omicron)	B.1.1.529
node_1326831	(12160,20055)	(23854,26529)	2.71429	node_1326849	21M (Omicron)	B.1.1.529	node_1326841	21M (Omicron)	B.1.1.529
node_1326841	(9424,22578)	(23948,26709)	0.633333	node_1326819	21M (Omicron)	B.1.1.529	node_1806266	22C (Omicron)	BA.2.12.1
node_1326887	(2790,4321)	(22578,22674)	0.542857	node_1805675	22C (Omicron)	BA.2.12.1	node_1326886	21M (Omicron)	B.1.1.529
node_1326889	(25416,26577)	(28881,29903)	0.575758	node_1328574	21M (Omicron)	BA.2	node_1326887	21M (Omicron)	B.1.1.529
node_1326902	(23013,23040)	(25416,26709)	1.05556	node_1327088	21M (Omicron)	B.1.1.529	node_1326901	21M (Omicron)	B.1.1.529
node_1327088	(0,241)	(22686,22813)	2.11111	node_1327078	21M (Omicron)	B.1.1.529	node_1326904	21M (Omicron)	B.1.1.529
node_1327089	(10198,15009)	(22674,22688)	2.375	node_1836885	21M (Omicron)	BA.2.10	node_1327088	21M (Omicron)	B.1.1.529
node_1332690	(670,7382)	(23055,26529)	2.11111	node_1650457	22B (Omicron)	BE.1.1	node_1332682	21M (Omicron)	BA.2
node_13333	(3815,9817)	(28093,28903)	2.375	node_13332	20A	B.1	node_13306	20A	B.1
node_1335446	(24514,27383)	(29382,29903)	3.8	node_1414977	21M (Omicron)	BA.2	node_1335444	21M (Omicron)	miscBA2BA1PostSpike
node_1335591	(0,1820)	(21752,25624)	2.375	node_1587189	21M (Omicron)	BA.2.9	node_1335590	21M (Omicron)	miscBA2BA1PostSpike
node_1335664	(26313,27259)	(27807,28744)	1.46154	node_1410903	21M (Omicron)	BA.2	node_1335663	21M (Omicron)	miscBA2BA1PostSpike
node_1339330	(21431,21622)	(23063,25336)	3.16667	node_1327357	21M (Omicron)	BA.2	node_1339329	21M (Omicron)	BA.2
node_1340030	(21386,22792)	(28311,29903)	1.11765	node_1340022	21M (Omicron)	BA.2	node_1385165	21M (Omicron)	BA.2
node_1346739	(912,7168)	(22577,25521)	3.8	node_1406681	21M (Omicron)	BA.2.24	node_1346723	21M (Omicron)	BA.2
node_135574	(241,1547)	(18423,19895)	2.71429	node_135573	21J (Delta)	AY.122	node_135487	21J (Delta)	AY.122
node_1358383	(19232,22688)	(22882,25290)	2.11111	node_1336054	21M (Omicron)	XAC	node_1587351	21M (Omicron)	BA.2.9
node_137203	(18816,19220)	(29253,29903)	1.1875	node_989394	21J (Delta)	AY.5	node_137192	21J (Delta)	AY.122
node_1378587	(11779,22308)	(28878,29903)	2.71429	node_1522129	21M (Omicron)	BA.2	node_1378585	21M (Omicron)	BA.2
node_1399021	(0,1585)	(7321,19151)	3.16667	node_1612319	21M (Omicron)	BA.2.9	node_1343973	21M (Omicron)	BA.2
node_1426426	(4321,8991)	(28079,29903)	0.413043	node_1429038	21M (Omicron)	BA.2.3.11	node_1499096	21M (Omicron)	miscBA1BA2Post5386
node_1430390	(21586,25810)	(28883,29903)	1.26667	node_1390178	21M (Omicron)	BA.2	node_1432324	21M (Omicron)	BA.2.3
node_143546	(241,2724)	(28461,29742)	3.16667	node_143545	21J (Delta)	AY.122	node_177699	21J (Delta)	AY.122
node_1447454	(15009,21570)	(28724,29903)	3.16667	node_1443367	22A (Omicron)	BA.4.1.1	node_1777520	22C (Omicron)	BA.2.12.1
node_1456025	(12160,14784)	(28724,29903)	3.16667	node_1456024	22A (Omicron)	BA.4	node_1337269	21M (Omicron)	BA.2
node_1462015	(22813,22882)	(26709,26858)	3.8	node_1462014	22A (Omicron)	BA.4	node_1449358	22A (Omicron)	BA.4.1
node_1463309	(1288,5281)	(23854,25416)	2.375	node_1452151	22A (Omicron)	BA.4.1	node_1811587	22C (Omicron)	BA.2.12.1
node_1463351	(0,670)	(23055,26529)	3.16667	node_1673935	22B (Omicron)	BA.5.1	node_1338537	21M (Omicron)	BA.2
node_147372	(0,2240)	(20937,21618)	1.35714	node_147371	21J (Delta)	AY.122.4	node_1004439	21A (Delta)	B.1.617.2
node_1497518	(5386,8393)	(21618,22898)	0.00337119	node_1358589	21M (Omicron)	BA.2	node_1497514	21M (Omicron)	miscBA1BA2Post8393
node_1497618	(2470,3037)	(22813,27382)	1.11765	node_1497616	21M (Omicron)	miscBA1BA2Post8393	node_1499505	21M (Omicron)	miscBA1BA2Pre4321
node_1498730	(241,2470)	(25624,26060)	1.46154	node_1498729	21M (Omicron)	miscBA1BA2Post8393	node_1572418	21M (Omicron)	BA.2.9
node_1499505	(4184,4321)	(24023,27382)	1.05556	node_1354656	21M (Omicron)	BA.2	node_1497627	21M (Omicron)	miscBA1BA2Post8393
node_1503329	(22570,25593)	(26936,29903)	2.71429	node_1503266	21M (Omicron)	BA.2	node_1574816	21M (Omicron)	BA.2.9
node_1505725	(4321,22578)	(25416,29903)	3.8	node_1505628	21M (Omicron)	BA.2	node_1499251	21M (Omicron)	miscBA1BA2Pre4321
node_1506286	(15141,22200)	(25624,28908)	3.8	node_1506106	21M (Omicron)	BA.2	node_1586000	21M (Omicron)	BA.2.9
node_151163	(5392,7124)	(19220,19245)	1.26667	node_520797	21J (Delta)	AY.111	node_150956	21J (Delta)	AY.122
node_1513883	(388,12049)	(15741,25624)	2.375	node_1513875	21M (Omicron)	BA.2	node_1581843	21M (Omicron)	BA.2.9
node_152123	(241,1048)	(22104,22993)	0.826087	node_152122	21J (Delta)	AY.122	node_264444	21J (Delta)	B.1.617.2
node_154779	(8982,10029)	(18634,22273)	2.375	node_883536	21J (Delta)	AY.4	node_154685	21J (Delta)	AY.122
node_1572016	(670,3817)	(22000,22599)	0.59375	node_1572015	21M (Omicron)	BA.2.9	node_1387855	21M (Omicron)	BA.2
node_1572059	(2790,14774)	(21651,22599)	0.0791667	node_1572058	21M (Omicron)	BA.2.9	node_1327126	21M (Omicron)	BA.2
node_1572120	(23673,24503)	(27384,29903)	3.8	node_1572118	21M (Omicron)	BA.2.9	node_1801922	22C (Omicron)	BA.2.12.1
node_1572373	(670,9534)	(27807,28882)	1.11765	node_1572364	21M (Omicron)	BA.2.9	node_1344329	21M (Omicron)	BA.2
node_1572710	(20946,22578)	(26709,29903)	3.16667	node_1572708	21M (Omicron)	BA.2.9	node_1492928	21M (Omicron)	BA.2
node_1572718	(456,1450)	(22775,27257)	0.59375	node_1372862	21M (Omicron)	BA.2	node_1572717	21M (Omicron)	BA.2.9
node_1574228	(4321,20371)	(26217,29296)	2.71429	node_1574227	21M (Omicron)	BA.2.9	node_1499251	21M (Omicron)	miscBA1BA2Pre4321
node_1575438	(0,2560)	(25624,27618)	3.8	node_1574707	21M (Omicron)	BA.2.9	node_1528650	21M (Omicron)	BA.2
node_1621652	(23767,26270)	(27195,29903)	0.431818	node_1621651	21M (Omicron)	BA.2	node_1363743	21M (Omicron)	BA.2
node_162341	(7254,9994)	(28603,29398)	1.58333	node_162340	21J (Delta)	AY.122.2	node_135573	21J (Delta)	AY.122
node_1636516	(21789,22673)	(23403,26530)	3.16667	node_1444008	22A (Omicron)	BA.4.1	node_1636515	22B (Omicron)	BA.5.5
node_16386	(5388,14676)	(23063,23271)	0.730769	node_1087087	20A	B.1	node_1007168	20A	B.1
node_1644616	(241,2790)	(23599,26529)	3.16667	node_1644592	22B (Omicron)	BA.5	node_1637909	22B (Omicron)	BA.5.5
node_1648323	(16935,19955)	(27807,28681)	1.9	node_1672155	22B (Omicron)	BA.5.1	node_1653909	22B (Omicron)	BE.1.1
node_1661123	(0,105)	(10183,17750)	1.9	node_1717623	22B (Omicron)	BA.5.2.1	node_1661122	22B (Omicron)	BA.5.1
node_1663770	(0,241)	(25000,27438)	1.58333	node_1663769	22B (Omicron)	BA.5.1.3	node_1326812	21M (Omicron)	B.1.1.529
node_1666683	(4048,11107)	(26681,27218)	1.9	node_1649244	22B (Omicron)	BE.1.1	node_1668696	22B (Omicron)	BA.5.1
node_166747	(414,1048)	(12085,15117)	0.095	node_173982	21J (Delta)	AY.122	node_175376	21J (Delta)	AY.122
node_1672155	(1627,4184)	(26060,27038)	3.16667	node_1714666	22B (Omicron)	BA.5.2.1	node_1664937	22B (Omicron)	BA.5.1
node_1679851	(9451,10449)	(19955,28855)	2.71429	node_1679850	22B (Omicron)	BA.5.1	node_1684528	22B (Omicron)	BA.5.1
node_1680050	(18088,21618)	(28271,29666)	0.678571	node_1680049	22B (Omicron)	BA.5.1	node_1637284	22B (Omicron)	BA.5.5
node_1680051	(9344,10198)	(27360,27430)	3.16667	node_1680050	22B (Omicron)	BA.5.1	node_1668127	22B (Omicron)	BA.5.1
node_1680913	(0,1931)	(4579,6705)	1.26667	node_1645327	22B (Omicron)	BE.1	node_1680912	22B (Omicron)	BA.5.1
node_1681081	(1540,4184)	(21618,22679)	1.9	node_1681080	22B (Omicron)	BA.5.1	node_1680993	22B (Omicron)	BA.5.1
node_1681243	(17207,18163)	(27807,29903)	2.71429	node_1681237	22B (Omicron)	BA.5.1	node_1689787	22B (Omicron)	BA.5.1
node_1683477	(0,1514)	(19174,22674)	2.71429	node_1660171	22B (Omicron)	BA.5.1	node_1683476	22B (Omicron)	BA.5.1.1
node_1683798	(21570,22200)	(23018,27259)	3.16667	node_1459091	22A (Omicron)	BA.4	node_1683796	22B (Omicron)	BA.5.1.1
node_1683822	(9424,18163)	(22786,22992)	1.9	node_1727808	22B (Omicron)	BA.5.2.1	node_1727919	22B (Omicron)	BA.5.2.1
node_1688308	(4321,10449)	(26497,27038)	0.260274	node_1715603	22B (Omicron)	BA.5.2.1	node_1676869	22B (Omicron)	BA.5.1
node_1698780	(16920,21294)	(22917,23535)	0.904762	node_1458691	22A (Omicron)	BA.4	node_1644564	22B (Omicron)	BA.5
node_1712224	(26529,26709)	(28330,28651)	3.16667	node_1723741	22B (Omicron)	BA.5.2.1	node_1463159	21M (Omicron)	BA.2
node_171703	(4113,14371)	(29236,29903)	1.9	node_171701	21J (Delta)	AY.122	node_620542	21J (Delta)	B.1.617.2
node_172242	(1438,5608)	(29236,29903)	3.16667	node_172237	21J (Delta)	AY.122	node_496140	21J (Delta)	AY.43
node_1727740	(19955,22200)	(28681,29903)	0.513514	node_1683831	22B (Omicron)	BA.5.1.1	node_1654486	22B (Omicron)	BA.5.3.1
node_1727800	(5284,22882)	(27807,28330)	0.703704	node_1806197	22C (Omicron)	BA.2.12.1	node_1683629	22B (Omicron)	BA.5.1.1
node_1727840	(16859,22688)	(28330,28651)	0.904762	node_1681198	22B (Omicron)	BA.5.1	node_1723555	22B (Omicron)	BA.5.2.1
node_1730615	(21114,22786)	(27807,28087)	0.208791	node_1632781	22B (Omicron)	BA.5	node_1719395	22B (Omicron)	BA.5.2.1
node_1738401	(19518,21294)	(22813,23896)	0.633333	node_1333860	21M (Omicron)	BA.2	node_1506428	21M (Omicron)	BA.2
node_1757505	(22200,22599)	(23599,28409)	3.16667	node_1757504	21M (Omicron)	BA.2	node_1500000	21M (Omicron)	BA.2
node_1765433	(9866,10449)	(29482,29903)	2.71429	node_1765431	21M (Omicron)	BA.2	node_1463088	21M (Omicron)	BA.2
node_176908	(0,1048)	(22354,27526)	3.8	node_176902	21J (Delta)	AY.122	node_384794	21J (Delta)	B.1.617.2
node_1770820	(27654,27807)	(29149,29903)	3.8	node_1521271	21M (Omicron)	BA.2	node_1769390	22C (Omicron)	BA.2.12.1
